field_id,title,matched_phrase,replaced_title,candidate_acronym,cui,sab,tty,sty,score,rank,chosen,has_conflict,domain
3,Verbal interview duration,duration,Verbal interview D.,D.,,UMLS,META,,100,1,True,False,medical
3,Verbal interview duration,duration,Verbal interview D.,AD,,ADAM,META,,90,2,False,False,medical
3,Verbal interview duration,duration,Verbal interview D.,CD,,ADAM,META,,90,3,False,False,medical
3,Verbal interview duration,duration,Verbal interview D.,ED,,ADAM,META,,90,4,False,False,medical
3,Verbal interview duration,duration,Verbal interview D.,PD,,ADAM,META,,90,5,False,False,medical
4,Biometrics duration,duration,Biometrics D.,D.,,UMLS,META,,100,1,True,False,medical
4,Biometrics duration,duration,Biometrics D.,AD,,ADAM,META,,90,2,False,False,medical
4,Biometrics duration,duration,Biometrics D.,CD,,ADAM,META,,90,3,False,False,medical
4,Biometrics duration,duration,Biometrics D.,ED,,ADAM,META,,90,4,False,False,medical
4,Biometrics duration,duration,Biometrics D.,PD,,ADAM,META,,90,5,False,False,medical
5,Sample collection duration,duration,Sample collection D.,D.,,UMLS,META,,100,1,True,False,medical
5,Sample collection duration,duration,Sample collection D.,AD,,ADAM,META,,90,2,False,False,medical
5,Sample collection duration,duration,Sample collection D.,CD,,ADAM,META,,90,3,False,False,medical
5,Sample collection duration,duration,Sample collection D.,ED,,ADAM,META,,90,4,False,False,medical
5,Sample collection duration,duration,Sample collection D.,PD,,ADAM,META,,90,5,False,False,medical
6,Conclusion duration,duration,Conclusion D.,D.,,UMLS,META,,100,1,True,False,medical
6,Conclusion duration,duration,Conclusion D.,AD,,ADAM,META,,90,2,False,False,medical
6,Conclusion duration,duration,Conclusion D.,CD,,ADAM,META,,90,3,False,False,medical
6,Conclusion duration,duration,Conclusion D.,ED,,ADAM,META,,90,4,False,False,medical
6,Conclusion duration,duration,Conclusion D.,PD,,ADAM,META,,90,5,False,False,medical
19,Heel ultrasound method,ultrasound,Heel US method,US,,UMLS,META,,100,1,True,False,medical
33,Date of birth,date of birth,DOB,DOB,,UMLS,META,,100,1,True,False,medical
34,Year of birth,year of birth,YOB,YOB,,UMLS,META,,100,1,True,False,medical
36,Blood pressure device ID,blood pressure,BP device ID,BP,,UMLS,META,,100,1,True,False,medical
36,Blood pressure device ID,blood pressure,BP device ID,RR,,ADAM,META,,90,2,False,False,medical
36,Blood pressure device ID,blood pressure,BP device ID,CBP,,ADAM,META,,90,3,False,False,medical
36,Blood pressure device ID,blood pressure,BP device ID,FBP,,ADAM,META,,90,4,False,False,medical
36,Blood pressure device ID,blood pressure,BP device ID,IBP,,ADAM,META,,90,5,False,False,medical
37,Blood pressure manual sphygmomanometer device ID,blood pressure,BP manual sphygmomanometer device ID,BP,,UMLS,META,,100,1,True,False,medical
37,Blood pressure manual sphygmomanometer device ID,blood pressure,BP manual sphygmomanometer device ID,RR,,ADAM,META,,90,2,False,False,medical
37,Blood pressure manual sphygmomanometer device ID,blood pressure,BP manual sphygmomanometer device ID,CBP,,ADAM,META,,90,3,False,False,medical
37,Blood pressure manual sphygmomanometer device ID,blood pressure,BP manual sphygmomanometer device ID,FBP,,ADAM,META,,90,4,False,False,medical
37,Blood pressure manual sphygmomanometer device ID,blood pressure,BP manual sphygmomanometer device ID,IBP,,ADAM,META,,90,5,False,False,medical
38,Hand grip dynamometer device ID,hand grip,HG dynamometer device ID,HG,,UMLS,META,,100,1,True,False,medical
43,Impedance device ID,impedance,Z0 device ID,Z0,,ADAM,META,,90,1,True,False,medical
45,Heel ultrasound device id,ultrasound,Heel US device id,US,,UMLS,META,,100,1,True,False,medical
46,Hand grip strength (left),hand grip strength,HGS (left),HGS,,UMLS,META,,100,1,True,False,medical
46,Hand grip strength (left),left,HGS (L),L,,UMLS,META,,100,1,True,False,medical
47,Hand grip strength (right),hand grip strength,HGS (right),HGS,,UMLS,META,,100,1,True,False,medical
47,Hand grip strength (right),right,HGS (R),R,,UMLS,META,,100,1,True,False,medical
48,Waist circumference,waist circumference,WC,WC,,UMLS,META,,100,1,True,False,medical
49,Hip circumference,hip circumference,HC,HC,,UMLS,META,,100,1,True,False,medical
77,"Heel bone ultrasound T-score, manual entry",ultrasound,"Heel bone US T-score, manual entry",US,,UMLS,META,,100,1,True,False,medical
78,"Heel bone mineral density (BMD) T-score, automated",bone mineral density,"Heel BMD (BMD) T-score, automated",BMD,,UMLS,META,,100,1,True,False,medical
78,"Heel bone mineral density (BMD) T-score, automated",bone mineral density,"Heel BMD (BMD) T-score, automated",RBMD,,ADAM,META,,90,2,False,False,medical
78,"Heel bone mineral density (BMD) T-score, automated",bone mineral density,"Heel BMD (BMD) T-score, automated",TBMD,,ADAM,META,,90,3,False,False,medical
78,"Heel bone mineral density (BMD) T-score, automated",bone mineral density,"Heel BMD (BMD) T-score, automated",T-BMD,,ADAM,META,,90,4,False,False,medical
92,Operation year/age first occurred,operation,OP year/age first occurred,OP,,UMLS,META,,100,1,True,False,medical
92,Operation year/age first occurred,operation,OP year/age first occurred,T0,,ADAM,META,,90,2,False,False,medical
93,"Systolic blood pressure, manual reading",systolic blood pressure,"SBP, manual reading",SBP,,UMLS,META,,100,1,True,False,medical
93,"Systolic blood pressure, manual reading",systolic blood pressure,"SBP, manual reading",SPB,,UMLS,META,,100,2,False,False,medical
93,"Systolic blood pressure, manual reading",systolic blood pressure,"SBP, manual reading",BPS,,ADAM,META,,90,3,False,False,medical
93,"Systolic blood pressure, manual reading",systolic blood pressure,"SBP, manual reading",PAS,,ADAM,META,,90,4,False,False,medical
93,"Systolic blood pressure, manual reading",systolic blood pressure,"SBP, manual reading",S-BP,,ADAM,META,,90,5,False,False,medical
94,"Diastolic blood pressure, manual reading",diastolic blood pressure,"DBP, manual reading",DBP,,UMLS,META,,100,1,True,False,medical
94,"Diastolic blood pressure, manual reading",diastolic blood pressure,"DBP, manual reading",SDBP,,ADAM,META,,90,2,False,False,medical
95,Pulse rate (during blood-pressure measurement),blood pressure,Pulse rate (during BP measurement),BP,,UMLS,META,,100,1,True,False,medical
95,Pulse rate (during blood-pressure measurement),blood pressure,Pulse rate (during BP measurement),RR,,ADAM,META,,90,2,False,False,medical
95,Pulse rate (during blood-pressure measurement),blood pressure,Pulse rate (during BP measurement),CBP,,ADAM,META,,90,3,False,False,medical
95,Pulse rate (during blood-pressure measurement),blood pressure,Pulse rate (during BP measurement),FBP,,ADAM,META,,90,4,False,False,medical
95,Pulse rate (during blood-pressure measurement),blood pressure,Pulse rate (during BP measurement),IBP,,ADAM,META,,90,5,False,False,medical
96,Time since interview start at which blood pressure screen(s) shown,blood pressure,Time since interview start at which BP screen(s) shown,BP,,UMLS,META,,100,1,True,False,medical
96,Time since interview start at which blood pressure screen(s) shown,blood pressure,Time since interview start at which BP screen(s) shown,RR,,ADAM,META,,90,2,False,False,medical
96,Time since interview start at which blood pressure screen(s) shown,blood pressure,Time since interview start at which BP screen(s) shown,CBP,,ADAM,META,,90,3,False,False,medical
96,Time since interview start at which blood pressure screen(s) shown,blood pressure,Time since interview start at which BP screen(s) shown,FBP,,ADAM,META,,90,4,False,False,medical
96,Time since interview start at which blood pressure screen(s) shown,blood pressure,Time since interview start at which BP screen(s) shown,IBP,,ADAM,META,,90,5,False,False,medical
118,Mother's day of birth,day of birth,Mother's P1,P1,,ADAM,META,,90,1,True,False,medical
118,Mother's day of birth,day of birth,Mother's P1,P0,,ADAM,META,,90,2,False,False,medical
118,Mother's day of birth,day of birth,Mother's P1,PO,,ADAM,META,,90,3,False,False,medical
120,Birth weight known,birth weight,BW known,BW,,UMLS,META,,100,1,True,False,medical
120,Birth weight known,birth weight,BW known,BWT,,UMLS,META,,100,2,False,False,medical
146,Father's day of birth,day of birth,Father's P1,P1,,ADAM,META,,90,1,True,False,medical
146,Father's day of birth,day of birth,Father's P1,P0,,ADAM,META,,90,2,False,False,medical
146,Father's day of birth,day of birth,Father's P1,PO,,ADAM,META,,90,3,False,False,medical
189,Townsend deprivation index at recruitment,deprivation,Townsend ED index at recruitment,ED,,ADAM,META,,90,1,True,False,medical
189,Townsend deprivation index at recruitment,deprivation,Townsend ED index at recruitment,E-D,,ADAM,META,,90,2,False,False,medical
190,Reason lost to follow-up,follow up,Reason lost to FU,FU,,UMLS,META,,100,1,True,False,medical
190,Reason lost to follow-up,follow up,Reason lost to FU,T2,,ADAM,META,,90,2,False,False,medical
191,Date lost to follow-up,follow up,Date lost to FU,FU,,UMLS,META,,100,1,True,False,medical
191,Date lost to follow-up,follow up,Date lost to FU,T2,,ADAM,META,,90,2,False,False,medical
400,Time to complete round,complete,Time to CR round,CR,,ADAM,META,,90,1,True,False,medical
404,Duration to first press of snap-button in each round,duration,D. to first press of snap-button in each round,D.,,UMLS,META,,100,1,True,False,medical
404,Duration to first press of snap-button in each round,duration,D. to first press of snap-button in each round,AD,,ADAM,META,,90,2,False,False,medical
404,Duration to first press of snap-button in each round,duration,D. to first press of snap-button in each round,CD,,ADAM,META,,90,3,False,False,medical
404,Duration to first press of snap-button in each round,duration,D. to first press of snap-button in each round,ED,,ADAM,META,,90,4,False,False,medical
404,Duration to first press of snap-button in each round,duration,D. to first press of snap-button in each round,PD,,ADAM,META,,90,5,False,False,medical
630,Touchscreen duration,duration,Touchscreen D.,D.,,UMLS,META,,100,1,True,False,medical
630,Touchscreen duration,duration,Touchscreen D.,AD,,ADAM,META,,90,2,False,False,medical
630,Touchscreen duration,duration,Touchscreen D.,CD,,ADAM,META,,90,3,False,False,medical
630,Touchscreen duration,duration,Touchscreen D.,ED,,ADAM,META,,90,4,False,False,medical
630,Touchscreen duration,duration,Touchscreen D.,PD,,ADAM,META,,90,5,False,False,medical
670,Type of accommodation lived in,accommodation,Type of ACC lived in,ACC,,UMLS,META,,100,1,True,False,medical
680,Own or rent accommodation lived in,accommodation,Own or rent ACC lived in,ACC,,UMLS,META,,100,1,True,False,medical
699,Length of time at current address,current,Length of time at IM address,IM,,ADAM,META,,90,1,True,False,medical
699,Length of time at current address,current,Length of time at IM address,IL,,ADAM,META,,90,2,False,False,medical
699,Length of time at current address,current,Length of time at IM address,IR,,ADAM,META,,90,3,False,False,medical
738,Average total household income before tax,average,AV total household income before tax,AV,,UMLS,META,,100,1,True,False,medical
757,Time employed in main current job,current,Time employed in main IM job,IM,,ADAM,META,,90,1,True,False,medical
757,Time employed in main current job,current,Time employed in main IM job,IL,,ADAM,META,,90,2,False,False,medical
757,Time employed in main current job,current,Time employed in main IM job,IR,,ADAM,META,,90,3,False,False,medical
777,Frequency of travelling from home to job workplace,frequency,F1 of travelling from home to job workplace,F1,,ADAM,META,,90,1,True,False,medical
777,Frequency of travelling from home to job workplace,frequency,F1 of travelling from home to job workplace,FP,,ADAM,META,,90,2,False,False,medical
777,Frequency of travelling from home to job workplace,frequency,F1 of travelling from home to job workplace,TF,,ADAM,META,,90,3,False,False,medical
796,Distance between home and job workplace,distance,CD between home and job workplace,CD,,ADAM,META,,90,1,True,False,medical
796,Distance between home and job workplace,distance,CD between home and job workplace,CM,,ADAM,META,,90,2,False,False,medical
796,Distance between home and job workplace,distance,CD between home and job workplace,MD,,ADAM,META,,90,3,False,False,medical
845,Age completed full time education,full time,Age completed FT education,FT,,Vanderbilt Clinic Notes,META,,80,1,True,False,medical
864,Number of days/week walked 10+ minutes,minutes,Number of days/week walked 10+ T2,T2,,ADAM,META,,90,1,True,False,medical
874,Duration of walks,duration,D. of walks,D.,,UMLS,META,,100,1,True,False,medical
874,Duration of walks,duration,D. of walks,AD,,ADAM,META,,90,2,False,False,medical
874,Duration of walks,duration,D. of walks,CD,,ADAM,META,,90,3,False,False,medical
874,Duration of walks,duration,D. of walks,ED,,ADAM,META,,90,4,False,False,medical
874,Duration of walks,duration,D. of walks,PD,,ADAM,META,,90,5,False,False,medical
884,Number of days/week of moderate physical activity 10+ minutes,physical activity,Number of days/week of moderate PA 10+ minutes,PA,,UMLS,META,,100,1,True,False,medical
884,Number of days/week of moderate physical activity 10+ minutes,physical activity,Number of days/week of moderate PA 10+ minutes,LPA,,ADAM,META,,90,2,False,False,medical
884,Number of days/week of moderate physical activity 10+ minutes,minutes,Number of days/week of moderate PA 10+ T2,T2,,ADAM,META,,90,1,True,False,medical
894,Duration of moderate activity,duration,D. of moderate activity,D.,,UMLS,META,,100,1,True,False,medical
894,Duration of moderate activity,duration,D. of moderate activity,AD,,ADAM,META,,90,2,False,False,medical
894,Duration of moderate activity,duration,D. of moderate activity,CD,,ADAM,META,,90,3,False,False,medical
894,Duration of moderate activity,duration,D. of moderate activity,ED,,ADAM,META,,90,4,False,False,medical
894,Duration of moderate activity,duration,D. of moderate activity,PD,,ADAM,META,,90,5,False,False,medical
894,Duration of moderate activity,activity,D. of moderate CA,CA,,ADAM,META,,90,1,True,False,medical
894,Duration of moderate activity,activity,D. of moderate CA,AI,,ADAM,META,,90,2,False,False,medical
894,Duration of moderate activity,activity,D. of moderate CA,DA,,ADAM,META,,90,3,False,False,medical
894,Duration of moderate activity,activity,D. of moderate CA,IA,,ADAM,META,,90,4,False,False,medical
894,Duration of moderate activity,activity,D. of moderate CA,UA,,ADAM,META,,90,5,False,False,medical
904,Number of days/week of vigorous physical activity 10+ minutes,vigorous physical activity,Number of days/week of VPA 10+ minutes,VPA,,UMLS,META,,100,1,True,False,medical
904,Number of days/week of vigorous physical activity 10+ minutes,minutes,Number of days/week of VPA 10+ T2,T2,,ADAM,META,,90,1,True,False,medical
914,Duration of vigorous activity,duration,D. of vigorous activity,D.,,UMLS,META,,100,1,True,False,medical
914,Duration of vigorous activity,duration,D. of vigorous activity,AD,,ADAM,META,,90,2,False,False,medical
914,Duration of vigorous activity,duration,D. of vigorous activity,CD,,ADAM,META,,90,3,False,False,medical
914,Duration of vigorous activity,duration,D. of vigorous activity,ED,,ADAM,META,,90,4,False,False,medical
914,Duration of vigorous activity,duration,D. of vigorous activity,PD,,ADAM,META,,90,5,False,False,medical
914,Duration of vigorous activity,activity,D. of vigorous CA,CA,,ADAM,META,,90,1,True,False,medical
914,Duration of vigorous activity,activity,D. of vigorous CA,AI,,ADAM,META,,90,2,False,False,medical
914,Duration of vigorous activity,activity,D. of vigorous CA,DA,,ADAM,META,,90,3,False,False,medical
